,0
70,"Recently I ate lunch at Little Kantana. It was on my yelp bookmark list of places to try. I have a coworker who frequents the restaurant and we went for sushi. While the sushi was good, it was also pretty standard. I had the spicy tuna roll and a tempura Philadelphia roll (one of my faves). I had to pay a $2 up charge for getting the one roll fried (tempura). I also had miso soup. One can easily pay about 12-15 eating here but not me apparently.  The restaurant atmosphere was nice, spacious...good Las Colinas location. The service was also good. I can't exactly say it was overpriced, but I've gotten better lunch deals at places like sushi axiom. There's a 2 for $10 sushi menu but you're limited to choose from about 5-6 rolls. Little Katana wasn't disappointing...even satisfactory...but I've had better. I'd like to try other menu items in the future, like the Yakisoba noodles. I haven't explored the menu further yet so I'll give them that disclaimer but a 3.25-3.5 for me on LK so far. Also I'm not really a traditional sushi kind of girl. I've been a little bit spoiled by blue sushi sake and sushi axiom.Look forward to the day I leave their saying ""Hakuna Katana"" :)"
71,"Tried the Beef Yakisoba noodles and they hit the spot! Delicious fresh veggies, and a lot of them too. Satisfied my craving big time :)"
72,"Food is absolutely delicious! I love their stone bowls, pork dumplings, and sushi! This restaurant pays attention to detail and delivers amazing results. This is my favorite Asian restaurant in the Irving area and I will keep coming for more. The inside of the restaurant is intimate and perfect for date night."
73,"My boyfriend and I wanted to try a new place and this restaurant popped up. We were not disappointed whatsoever! The ambiance of the place + the decor were amazing and very classy. Our server Michael was very prompt and made sure we were doing fine. He made our experience very pleasant and our foods came out very fast. You guys should ask for him!!! We ordered the Katana Combo Appetizers (The ahi tuna blew me away and was our personal favorite + very delicious dipping sauces) our entrees were the Udon Noodles and Chicken Stone Bowl (I love love love the presentation of the bowl because I love vegetables but not bean sprouts. The vegetables come out separate and then the server puts in what you like), sushi wise we got the Katana 101 and Spider Roll (Sushi rolls were very fresh) last but not least, we ended our dinner with the Mango Cheesecake and this cheesecake knockedit out of the park. The flavor to presentation was very nice and it was a very big spice to perfect for 2."
74,"Who ever said you can't find good sushi in Texas? I know someone and they sure don't know what their talking about. This place was jam packed and for a good reason. I ended up sitting at the sushi bar after I spoke to the hostess. Their sushi menu all sounded good. But, I had to go for the Charming roll and their Special roll (Fire Roll). Both were delicious and had all the right elements and flavors to make them some of my favorite sushi rolls period. Server was a little off because she had bigger parties to attend to, but other than that, this is a good sushi joint in the middle of Texas, Dallas to be specific."
75,Our favorite little sushi spot. The happy hour specials are the go-to. The hot bowls and sushi are always a good go to! Very clean. Service is always very prompt and kind.
76,"I love sushi and as soon as I moved to the Las Colinas area a couple of months ago I've been in search for my ""go-to."" I've tried 3 others nearby but this has been the best so far. The flavorings coupled with the freshness felt spot on. Definitely want another go but I'm feeling like this is one!"
77,"Came here with a girlfriend for dinner and enjoyed the food and the ambiance of the restaurant. The dark tablecloths add a fancy touch to the place that has a full bar, sushi bar, and a good amount of tables and seating. The waitress was attentive and came by often to check on us. We ordered the salmon sashimi, teardrop yellowtail, spicy tuna roll, and the Katana 101 roll.  The salmon sashimi was good but not the best I've had.  The teardrop yellowtail sashimi comes with three big tuna sashimi slices in ponzu sauce with jalapeño and sriracha.  It was good and the tuna was fresh and meaty.  The spicy tuna was your typical spicy tuna; nothing out of this world. The Katana 101 roll was delicious and I loved the creaminess from the cream cheese and the sauces. Excellent choice if you like cream cheese in your sushi rolls. All in all, food and service was good and the restaurant was clean and welcoming. I would come back here again if I'm in the area and craving sushi!"
78,"Went to this place with my coworkers. It totally exceed my expectations. It was well priced for the quality of food. It had such a great presence in Las Colinas. I personally believe it's up to par with Blue Fish. I would highly recommended the stone bowl. It was so yummy and tasty. It was really good as far savory, spices, and everything that was included. Will for sure be returning"
79,"Wow is all you can say about this place.  The sushi is amazing, the ramen was the bomb, and from the photos you can see that my niece loved the edamame!  We basically went down the list of all the specialty rolls.  The roll all the way to the right is the crab baked roll and you can see how much crab is piled up on top of it!  It was basically the best roll I have ever had - unbelievable.  The dynamite rolls we are also amazing and had a great spice pallet to them.  Check out the soft shell crab roll, it's the one with the crabs sticking out of them, they were amazing.  the crab was cooked perfectly and the components of the roll were put together nicely.  Each roll had a unique flavor and definitely didn't disappoint.  My niece got the chicken ramen and she almost finished the whole thing!  The portions are large and the wait staff is extremely attentive.  Every time a plate was finished they were right there to take it away from the table.  Some people may find this as annoying or overbearing but this is exactly how a restaurant is supposed to act in a foreign country.  It's nice to see this level of attention here in the US.  Great job!"
80,I got the deluxe platter. The sashimi and nigiri didn't taste very fresh. The California roll and shrimp tempura rolls were pretty good.
81,YummmmmmYummmmmmThe chicken here is great and sushi was fantastic and the place is very cute and classyGreat for lunch
82,"Wow, wow, wow! Little Katana, you have totally surprised me! We had tried to dine here once before, but it was closed even with the Open sign lit during business hours. I am super glad we gave them another try.The doors were unlocked this time (lol) and we were greeted immediately and escorted to a table. Our waitress, Sungae, was phenomenal. She explained the menu and took our drink order. I like rice-less sushi rolls and she pointed out the options on the menu, which  included not one but three in which to choose. We first started the dinner with the Ahi tuna tower. This was wonderful, with nice chunks of avocado mixed with tuna, rice, and crab. It was different than what we are used to, and this was not a bad thing.Next came the Ma Ma Roll... Ma Ma Mia, this was beyond delicious! This was one of the rice-less rolls, wrapped with scrumptious salmon this literally melted in my mouth. Yes, it was that fresh! Filled tightly in the salmon was crab meat, avocado and topped with a ponzu sauce. Trust me, you must try this!After we demolished the Ma Ma Roll, our spicy tuna roll (pretty much a staple we usually order) was served that was tasty. Also arriving to the table was the Charming Roll, another rice-less roll with crab, salmon, avocado and chili sauce. Yum, yum and YUM! We all but licked the plate and we were not the least bit hungry after all of that, but we ordered another Ma Ma Roll just because it was that fricken good! Yep, glutinous people we are! We were celebrating my birthday, so I used that as an excuse-- worked for me!Our waitress, Sungae, checked on us often without being intrusive. What stood out the most to say she was excellent at her job? OK, I have only witnessed this two other times in my life, and it was in Arizona at a nice restaurant and when dining in Japan. As we were ordering, she would thank us. When she refilled our water and we thanked her, SHE THANKED US. This is pretty much a custom in Japan but certainly not in America, sadly. Just by that small gesture of appreciation, I was beyond impressed. I will most definitely be returning. Their food blew away their competitors in this area. Thank you, Sungae, for making my birthday celebration an enjoyable one  :)"
83,Every sushi that we ordered were good.  I like the spider roll the best and the crab dynamite.Their crispy calamari is one of the best I have tasted in different restaurant.  It's crispy and yummy.  The sizzling dumpling is also good!We  got  here around 6:30 and they are still offering happy hour for the beers.I just did not eat the raw ones as I am not really into that but my husband and nephew loved it.We will surely be coming back.
84,Great spot!  Decent selection of sushi options. Bento boxes looked really good. Quick for lunch.
85,Absolutely  worst sushi ever! The fish was NOT fresh. We had to make a Wendy's run to get the taste out of our mouths! The only saving  grace was the miso soup & beef dumplings. A lot of money down the drain. Don't think we'll order from here again.
86,This place is my go to for sushi! Amazing service and goooodd fooodd! Highly recommend. This is my regular spot for HH with the squad or nice dinner with the boyfriend.
87,"The ambiance is great. Hostess and waiter were awesome. They continually checked on us at appropriate times. The sushi was delicious and the noodle chicken soup was delicious! Actually they were the best noodles I've had at a restaurant. Overall I will definitely be back again, and I highly recommend."
88,"My wife and I ate here 2 weeks ago and loved it.  We were lucky to arrive at a time when Sake bottles were half off, so given we were in town for TexSom (a wine conference)  we were to splurge on an $80 bottle of Hakutsuru.  The udon was wonderful, as were the various pieces of sushi we tried.  What sets this place apart from others are some of the dishes are traditional Japanese home fare, and we'll be back to try those.  5 stars!"
89,"I really enjoyed my lunch here the other day. The service was very prompt and friendly.Little Katana has a lot to offer for lunch and dinner. I have been on a ramen kick and to my surprise they had some here. The reason for my surprise was that I thought it was just a sushi place. I ordered the tonkotsu type ramen and I'm glad I did. It was very tasty and had all of the good fixings for this type of ramen. My complaint though about the ramen was that the broth seemed to be lacking something. Besides that the meat in the ramen was delectable, and the noodles were made just right.My California roll was very fresh and tasted great.Overall I had a great time here and I look forward to coming back."
90,"The seafood hot stone bowl ($16, if I remember correctly) was simply one of the best things I have eaten anywhere. It seemed to have a flavor I don't normally associate with Japanese food, or any Asian food for that matter. Service was extra friendly and prompt, the ambiance was very nice, and I'll definitely return soon."
91,"Me and my coworkers have been waiting for this place to open for several months, ever since we saw the ""Coming Soon"" signs!  We often ate at rheir uptown location when we officed over there and were more than excited to see them expanding to Las Colinas!  The day has finally arrived and we came here for lunch...It was delicious and the service was unbelievable.  I am truly excited to have these folks in the neighborhood."
92,We love Little Katana - Las Colinas! They take great care of us and have the best food! I would recommend this place to anyone looking for good quality sushi and friendly service!
93,"I took my family there as the reviews came up for a Thai restaurant. This is definitely not Thai, it's Japanese - having said that, it's really good. Do try the Last Emperor's Mule, delicious.  All the sushis and sashimis we ordered were perfectly made and kudos to our server, the shellfish allergy in one of our party was well noted and respected. If anything, the service was a little slow, only because the restaurant was full. But if you're not dying of hunger, this isn't the worst thing in the world."
94,"Sushi was amazing! A little pricy for some of the speciality rolls, but very tasty! the katana 101 and the dragon roll were sooooo good."
95,"I ordered for delivery, because I'm in a work trip and peopled out, so delivery was perfect through the yelp app. It was early!I ordered both the Louisiana roll and the Mama roll, and they were both good. Let me tell you, though... The Mama roll... It was incredible. A perfect mix of flavors and textures. I will be back. As often and soon as possible!!"
96,"Amazing! Service, presentation and of the food on point, taste. Overall, excellent experience."
97,"First off I have to say this is probably some of the best sushi I've ever eaten in my life. Since I've been eating sushi for over 50 years I'd say that's something. We tried a variety of different sushi plates while here and I took some photos. The service was quick and friendly, and the only reason I can't give it five stars is partly because of the tea and the hours this place is open. I always have some hot green tea when I have Asian food, with no sugar and a fairly neutral taste it doesn't interfere with the rest of the taste that you're looking for when you're eating. Here it was just served to me in a giant cup instead of a teapot and a cup. We arrived at 4:30 in the afternoon and they don't open until 5 PM so we had to wait a half an hour. I'm glad we waited as the sushi was outstanding, but they could increase their hours as far as I'm concerned.  Anyway if you're looking for some good sushi if you happen to be in the area try this place it's far better than most places you'll ever eat sushi, and I've eaten sushi pretty much everywhere I go."
98,"Great food, reasonable prices, cute and nicely decorated. Four stars because the service can be slow (they've been packed every time I've gone so I'm assuming that's why!)"
99,"Nice location and good service. They have some nIce rolls if you are a roll eater. Sushi was good. I had the tuna, salmon, yellowtail, and unagi."
100,"LOVE THIS PLACE!  I've been here a couple of times for happy hour/light dinner and a few times for lunch. It gets pretty busy at lunch time. Don't expect a quick lunch. The food is fresh and really good here. It's hard to order sushi if you're not splitting it and want to try different things. For lunch, you can order from a select menu of sushi 2 rolls for $10. I love the rest of their lunch menu too. You can order the usual bentos for variety. The salads look good too. My friend had the hot stone bowl and loved it. I'll have to try it, but  it's hard to not order the sushi. Everything I've had here has been really good. I've introduced this place to several co workers who come in from out of town and now this is where they want to go. They have a good happy hour with special prices on sushi and appetizers and Wednesday is half price wine bottle night. Can't beat that!"
101,Great place for a quick lunch. Service was fast and attentive. Prices were good for lunch. Very busy place. Will definitely be back.
102,Tried this place for the first time and it was amazing. The petite woman that was my server has excellent customer service. Food was great quality. Would definitely recommend.
103,"This is one of the best Japanese restaurant that I have visited. Great environment, great service and great kitchen.This is the order to share for 4:- Hot & spicy chicken soup  - Sunny Roll - Hot Stone Rice (combo) - careful, it's very spicy - Mango cheesecake or mochi mochi ice cream  - Sapporo (draft beer)You're welcome"
104,"This place is amazing. Restaurant decor is very good. Service is excellent! Awesome music and wonderful food. The crabmeat dynamite is so fresh, good and filling. I have traveled and had this in all parts of the country. It is the best here!"
105,I went to get rolls and was not pleased with taste of the fish. Or I should say lack there of. It's bland and you have to dip it into soy sauce a lot to give it some kind of taste. My friend had a rice dish and she liked it. Two stars for that.
106,"First visit- will be back. Everything that came out of the kitchen looked amazing! Has a very elegant atmosphere, love the modern industrial look. Perfect place for a date night."
107,"I was in town for business and stumbled upon this gem! Great quality sushi and the service was pretty good. We ordered an appetizer that was forgotten, but other than that, everything came as expected and was delicious. Also, we loved the half priced wine special on Saturday night!"
108,Very good food! I had spicy  Tina rolls with soy paper. Service was very good even though it was packed! I sat at the sushi bar and the ambience was very nice. Highly recommend if you like sushi!
109,great chef but little too salty for us. I was little disappointed that they didn't have yummy sauce..  their sushi was good
110,"I'm from houston and we came to dallas for a mini vacation and i wanted some ramen nearby for my birthday. this place is so cute and super friendly! we all got tonkatsu, shoyu ramen, california roll, spicy chicken, dumplings and everything was amazing!! definitely recommend coming here."
111,"This is strictly for the ramen. I ordered online which was nice and easy, lemon breezy. I pick it up and the broth was nice and hot! They package the broth and the noodles separate which is awesome. I also ordered the Cali roll, but I'm not doing a review on that. The reason is if you had one Cali roll you've had them all. Back to that ramen tho! The broth was so flavorful. Full of garlic which I like. The noodles were a little soft for my taste but enjoyable. I love the seaweed that was in the ramen. I know that the egg is supposed to be soft boiled, but I prefer it hard boiled which it was by the time I got around to eating it. I got a peek of the interior and it was nice. Next time I'll dine in!"
112,Little pricey for size of rolls but delicious. Love the Brussels sprouts! Friendly staff and easy option for takeout.
113,"The sushi was very good, really fresh. I ordered a Katana 101 roll, Charisma roll and sizzling dumplings. I highly recommend this place."
114,"this place is amazing! we found out about it about a year ago and have loved it ever since! they are always very consistent, and the food is delicious! we alsways enjoy our time there and the precautions they take to combat coronavirus are very comforting, when we walked in, we were required to use hand sanitizer and we got our temperature checked, which really made me feel safe, while we were there they were constantly cleaning, which gave my whole group peace of mind about our safety. if your are looking for a delicious place to eat sushi and DELICIOUS sizzling dumplings, this is the place to go! (my favorite is the Philadelphia roll, they add cucumber,and it is delicious)"
115,"Amazing! Amazing food, amazing hospitality, amazing service.Spontaneous meeting - my wife missed her flight and was spending the night by DWF, my son was visiting for a business meeting next day and I was only one hour away after a meeting.  So we met here for dinner and it was just wonderful!!"
116,"We sat at the sushi bar and had the Snow Mountain Roll, Special Dragon Roll, and the PaPa Roll. All three were wonderful! The Pa Pa Roll in particular is very special - no rice, so fresh. Just a really lovely sushi experience! Highly recommend!"
117,"One of my favorite sushi places! Very kind, helpful, and attentive staff. Fresh, delicious food and good options even for those who don't like sushi. We come here a lot!"
118,"Love that this place has a presence in Las Colinas! It has the quality of its rival Blue Fish with more competitive prices.I've only tried their sushi, but the bento boxes look great as well. They have tons of special rolls and I haven't been disappointed.Service can be a little slower than desired at lunch-if you're in a rush.Nice relaxing environment, table cloths and it isn't too loud at all. Great place for a business meeting"
119,"Simple but pretty good! Some of their fish is brought from Japan without being frozen. These pieces are the most expensive but the rest are pretty reasonable. Everything tasted good. Popular dishes  are Charming and Pappa Shushi. The creme brulee is really tasty. The mango cheesecake not that much. I think the mango fruit was not mature enough. Both are house made :)Service was super helpful and friendly. Fortunately, we arrived just in time for happ hour. Decor was cute and simple since Christmas is coming :) Entrance might not invite you but the inside is nice :D"
120,Very yummy good! Definitely worth trying! Had a hot stone bowl kinda thing.. It was really good! Give it a shot!
121,"I am giving Little Katna a 4 star review since I have to return.  I took my wife there at 4 pm on Saturday and it was between Lunch and Dinner.   We have eaten at the neighboring Blue Fish and we wanted to try to new Sushi Place in town. We did bring our 14 month old and the staff was very accommodating. We had the Shrimp and Vegetable Tempura.  It was tasty with large shrimp but not too oily.  I also had the Katana House Salad and everything was fresh.  Finally, we had two rolls which consisted of Rainbow Roll and the Dragon Roll.  I thought it was very tasty. I will return again during dinner with my wife and update my review. Overall, I think is a great new addition to Las Colinas for good sushi."
122,I ordered take out with tuna rolls and the seafood stone bowl.  The sushi didn't have much flavor but the seafood stone bowl was outstanding.loaded with fresh vegetables and plenty of seafood.  And it was not too spicy for my sensitive palate.  The portion is large enough for two to share.
123,Definitely a hidden gem in Las Colinas. The staff is always so friendly and the sushi is amazing and fresh!
124,"Y'all. This sushi is straight fuego. All the ingredients were super fresh - rice, fish, veggies... like. Yaasss. Some of the best I've had in a long time."
125,Best sushi I've had in a very long time.  Get the lemon sushi roll!!!!!  Pa pa I think it's called
126,"Fantastic! We came on a Thursday night and were greeted immediately by a friendly host. We were sat and service was prompt. Our waiter was friendly and informative about various dishes. His recommendation of avocado egg rolls was spot on. I highly recommend the avocado egg rolls. I'd almost be willing to drive back the 4 hours from home to eat them again.  We both had sushi including the Spicy California, Philadelphia Roll, Louisiana Roll and Spider Roll (I think, I remember it had salmon and Katana sauce). All were delicious. The price was reasonable for all items and while I didn't drink they had some great sounding cocktails."
127,"We go to little katana all the time. The other day I called to make an order Togo for a salmon tower and fried rice. The lady repeated my order with salmon tower and fried rice--just like I ordered. I go to pick it up and it's a salmon salad? It was a complete waste of time, I only have 30 minute lunches. And her response was it's gonna be a minute to fix it? Totally not accommodating. The customer service is not nearly as good as the food!"
128,Great little place for a sit down asian fusion meal. I had the hot pot with a crispy rice bowl. They have a great selection for lunch but expensive for dinner.
129,"Get the yellowtail if you don't do anything else because it is phenomenal. Vino and sushi specials even on a Saturday afternoon which is when we went. Seaglass pinot noir went perfect with our meal. Everything is fresh and the waitstaff is very accommodating. Also try the ahi tuna tower but beware is has a seriously spicy kick to it. This place is actually a tad smaller than I would have expected inside. But it makes for a wonderful little date day or night. There are lots of specialty rolls on the menu or just straight sashimi/traditional items if you'd like to keep things simple. I'd go back in a heartbeat. Yes, it's way way better than that other sushi joint down the street and around the corner. There, I said it."
130,Yummy  food! Excellent service & great  fresh sushi . I really enjoyed my dinner tonight. Sushi at this location is worth every penny.
131,"Little Katana has become my go-to restaurant for sushi in the DFW area. There is very little... from the atmosphere, to the service, and especially the food... that I don't love about this restaurant. My most recent visit (my second) was notable because of the friendliness of the staff, in spite of my arriving very close to closing time. My food was excellent, tasting very fresh and presented in a lovely manner.Must try items include their sizzling dumpling miso soup and crabmeat dynamite roll. I'm sure I will find others on future visits, and their will be future visit!"
132,"I've used my $15 dollars grand opening credit for four weeks now and haven't had any more issues, so I'm going to bump up Little Katana one more star. Service has been great and the manager and staff have been polite. The restaurant is more lively during the lunch hours. Haven't went back for dinner again to see if it got busier, since it can be pretty pricey here depending on what you order. I've tried quite a few things on the menu, so below is a quick summary. Most of the food at Little Katana is a 3-5 depending on what you order.-Sizzling dumpling are pretty good here, but Americanized and fried. -chicken teriyaki lunch bento- chicken was pretty salty.-Blue crab roll tasted cooked and is kind of fishy. Wouldn't order this again.-Cosmo roll is pretty decent. -Beef sizzling hot stone bowl is pretty good, but a bit pricey and Americanized. Definitely not Japanese or Korean.-Jungle albacore was removed from the Happy Hour menu. I don't think I'd pay a full $18 for it. It didn't taste as good the second time around. I think they seared the albacore more and I prefer it more raw. I looked at the previous picture I took of this dish and they didn't sear it the first time. It was better that way! Maybe ask for it raw and not seared if you want to get this.-Shrimp tempura roll - pretty good and standard-beef bugolgi lunch bento- pretty solid and not as salty as the chicken teriyaki thankfully, the salad dressing on the side salad is pretty tasty. you also get edamame, 4 pc california roll, and miso soup. definitely a good bang for your buck-Beef teriyaki lunch bento- beef is prepared really well. One of my favorites-Ahi tuna or salmon tower- also one of my favorites. I would ask for light spicy mayo next time. They went a bit overboard the second time I ordered this.-Little Star Lunch special- fish is pretty fresh. Comes with 4 nigiri and a crunch roll. Salmon is better than the tuna here.They also changed the happy hour menu a bit. Albacore jungle and cosmo roll was definitely taken off the happy hour menu, when it had been previously on there. I'm sure they took a few other things of it, but just be aware it's a little bit more limited now.----Update: Bentos include tempura now!!"
133,"Wonderful fresh sushi, great service. Will def visit again next time I'm in town."
134,This place is the best! The food is amazingly delicious. I'm from out of the state and I make sure I come here when I visit.
135,"Sunny Roll!From what I saw online yesterday this place has only been open since January 23rd, and it is a great place to go and get some sushi.  I was looking for a sushi place in Irving / Las Colinas area that looked decent in the online pictures and that seemed to be clean.  There were several sushi places in Irving that came up but oh my goodness....some looked very scary online.  We had two orders of edamame, which were demolished...but you cant really mess up edamame...can you?!?!  maybe you can, I dont know?!? The tables have black table cloths and glasses already at the table...very fancy!Of course I am not a true raw fish eater, but I love the shrimp tempura roll and the spicy tuna roll.  The tuna seemed fresh. The staff here were friendly and eager to help you with your selections and get you taken care of.  I will definitely be back if we are ever in that area again. Restrooms = N/AI believe the owner was there last night and took our order and at the end of the meal gave the kiddo that was with us a mint.  The kiddo kept asking for desert but he was not alowed, next best thing!"
136,"I think maybe I ordered the wrong thing here as all plates and sushi that were being delivered to surrounding tables looked fantastic.  I was craving Tonkotsu Ramen so I ordered and what I was served was-well a bowl of noodles in a very delicious broth with half a hard boiled egg (the most disappointing part-that soft boiled, runny middle egg is my fav part), one thinly sliced piece of pork (I assume it was pork belly but it was so thinly sliced it looked like a piece of curled up bacon).  Pork did have great flavor but it was not what I used to getting-there has been around atleast 2 (most places 3) slices of thick pork belly-another reason why I love this bowl so much. Overall, between the hard boiled egg-which was cooked to death and definitely not from any chicken that had any room to roam (yolk was almost white) - and oh so thin piece of pork, I was completely disappointed.  Next year when I am in town vist maybe I try something other then the Ramen so I can see why this place had so many stars"
137,Visiting from out of town and chose this place because of the reviews and it was close to our hotel. Went on a Saturday night and was greeted immediately and sat. Live music was being played and decor is very contemporary. Our waitress and service was excellent. Ordered the ramen and lobster roll along with a Katana martini. Everything was amazing. We've been to some of the best sushi places around and this is up there at the top. From service to the quality of the food was the best we've seen in a long time in the US. My husband actually loved it and asked the waitress to give the regards to the chef and he is the most picky sushi eater ever! Wish they had a Little Katana in our area because we'd literally live there!
138,"The staff is friendly and helpful. The ambiance is nice. The food is good. I've been here twice now. As far as sushi goes, is good, but not great. The roll sizes are a little below average in my opinion. The fish is fresh though. I've had the Snow Mountain and the Lobster roll. I recommend both, but there are little tweaks they could do to really make the flavor explode."
139,"one star because they work with uber eats. they had one job, and that was to deliver a tasty scallop dynamite roll. FAIL. the scallops were raw (i cooked them myself because i am used to them being baked) and the roll was swimmmmmmming in spicy mayo. it was disgusting. i scraped off all of the excess. had the roll not been almost $20, i would have thrown it away. i was too busy working on homework to drive to blue fish-big mistake that i won't make again. i really wanted to like this place!"
140,"I love this place! Great option for indoor or outdoor sitting! Betsy busy but that's because the food is so great!Quality sushi, colorful, flavorful and plentiful!!! Amazing menu and lots of choices.Great location and always nice crowed to dine with. Highly recommended! Always great experience dining there!"
141,"I cannot say enough good things about this place. Funny thing is I'm not into seafood at all so I can't comment on the sushi, but I had the beef hot stone bowl and it was probably the best one I've ever had in my life. Tender bulgogi type beef is served hot over rice with an egg cooking on top. Fresh veggies are also brought to the table and stirred in table side, then fresh lemon is squeezed on top. I wish I had a 'before pic' because the presentation is beautiful. The beef is top quality - no fat or gristle. I'm here at an odd time (that's kind of my thing) so I'm the only person here, but there's a beautifully appointed bar, sushi bar, and a piano presumably for some live music sets on the weekend. The service was impeccable.Come patronize this place! I can't wait to bring my hubs here as he loves seafood."
142,"The service here was outstanding, everyone was very nice. The food was really good. The dumplings had a great taste. The sushi was done very well.  Try getting food items from the Happy Hour. Better prices, same great food."
143,"Great food and service, the mango cheesecake is amazing! We had the teriyaki chicken and filet with a side of mushrooms and spinach and everything was great"
144,Loved this sushi place! Very authentic and lovely place. Great service and we always order the quail egg shooters!  They have a nice happy hour as well. We definitely will be back!
145,"Absolutely best sushi I've ever had, great temperature and cuts, friendly staff... loved it!"
146,FantasticHighly recommend this placeI had the following nigiri:Fresh SalmonYellowtail Maguro TunaFatty (Otoro)UniAnd the hot stone Wagyu.All super fresh and quality rice to go with
147,Best sushi place in the DFW area. Sushi is fresh and delicious. Staff is friendly and inviting. Super chill place.
148,This is my favorite new sushi spot. Dumplings are amazing! We loved both of the rolls we ordered as well.
149,"Came here for date night with my husband and it was such a cute little spot! Drinks were great. Sushi was so tasty! The waitress was so sweet, polite, and attentive. We will definitely be returning."
150,"I love the dragon boat sushi!!!!!!! Loved the interior design too! My friends order Ramen, they were just okay."
151,Great customer Service and amazing food!!  We had the avocado eggs rolls and 4 different types of sushi and nothing was a disappointment.  We also had a cab fromthe happy hour menu that was delicious.  Will definitely come back again!!!
152,This was a great little place! My colleague had the sushi and I enjoyed both dumplings and a stone bowl. The food was delicious and the service was excellent.
153,Excellent food choices raw and cooked. Great happy hour menu. Great staff and excellent customer service. Will come back.
154,Let's just say we will come back. Such delicious and fresh sushi & food. The customer service was amazing as well! Thank you from a couple traveling through Texas all the way from Washington state!
155,"I am so happy to find chef Suzuki here!  The sushi was fresh and the service was good. It was a little pricey, but not overly so. We will be back!"
156,"I was in the mood for ramen so decided to get some from this place based on the yelp reviews. I've since had the ramen again (first time the kimchi one and second time chicken). The ramen here is delicious and the service for takeout is also really good. The restaurant seems cute and pretty popular. However, my kimchi ramen had one piece of pork and my chicken one barely had any meat. Just not what i expected for some soup that costs $10. Not sure if they are only skimping on the take out ramen since i didn't dine in, but it's disappointing enough for me to consider not returning."
157,I really liked little katana! It was pretty big place. They had a lot of options and the service was very friendly. I had the avocado and veggie roll which was really good and the veggie rolls looked beautiful. The service was fast and the pricing was competitive. I will definitely be visiting again.
158,"I found my new happy hour spot.  Great drinks, food and ambience.  Attentive staff, perfectly price for 5p M-F Happy Hour.  On the way home  just got better.  Went twice in 1 week, reminds me of my ole stompin ground Hapa in Colorado.  Jalapeno Peppers is just like that Monkey Brain- salmon, avocados, delicious.  If you in Irving/Las Colinas its the spot for sushi.  I'm bougie about my sushi!!!"
159,"I am happy a good quality sushi place opened walkable distance from my place. I've been to Little Katana couple times now, and both times, foods were pretty good. Sushi rolls and tempura udon are my go to items, and they have been consistently good. During the happy hour, you can get appetizers at great price! I would definitely visit many more times."
160,"I went on my lunch break to check out this new place. I've seen popular and prominent locals post about Little Katana on social media and I wanted to see what it was all about. This is definitely the hangout spot where you not only want to be seen but experience great food! Modern Edison-style light fixtures produce soft light against a mostly black and light brick dining room. Three-dimensional art, and other modern paintings hang from the brick walls. It has a very fresh vibe. There is a small bright fully loaded bar near the entrance and the well-lit sushi bar is located at the back of the restaurant. I started my meal out with the Sizzlin' Dumplings. It's a semi-crunchy, fried dumpling with a finely minced beef and vegetable filling, served with a sweet plum sauce and a sweet chili sauce. The amount of dumplings make for a great sharable appetizer.  I'm typically a sushi hound but I branched out and got their most popular dish, the Hot Stone Bowl. It is a mixture of meat, rice, veggies, and meats served in an actual stone bowl. It sizzles. Red peppers, green peppers, radish, mushrooms, carrots and sprouts all finely chopped. Lemon wedge for a nice touch of acidity. The waiter asked me if I wanted all the veggies on the plate, I said yes. If I didn't go all in, I'd have to go home. The waitress gently dumped in all the ingredients and began to mix the bowl. By the time she was done, the egg yolk was cooked and the veggies were no longer raw. The customizable component is good for deciding how spicy you want this to be.   The Hot Stone Bowl sounds exotic but the taste and texture and flavor are similar to that of hibachi, only lighter, less salty and buttery. It is more reliant on natural flavors from the veggies and meats - which is pure deliciousness.What makes Little Katana unique is the quality and freshness of ingredients. Their chefs prepare new batches of sushi rice three times per day."
161,"Little Katana is a hidden gem in Las Colinas. The jalapeño poppers were amazing! They were stuffed full of crab meat and lightly fried. The pan fried dumplings were served on a sizzling plate and also had great flavor! For lunch you can even get two sushi rolls for $10, an absolute steal!"
162,"Good sushi, overpriced combo... read below.Menu should read sashimi, nigiri, and a roll for $75... then I would have steered clear.  Instead it just says large sushi and sashimi combo.  The sashimi pieces were big but the nigiri was nothing to write home about.Let me count, 16 piece of sashimi (4x4) plus 4 sets of nigiri (4x2) and a roll = $75... when it would have been cheaper if ordered a la cart... so what's the point?  No flair nor any discount.Fool me once, never again."
163,"This place is amazing. Cute atmosphere. Sometimes they even have live music. Super nice servers. Food is DELICIOUS. Favorite meals: hot stone bow with chicken, lobster roll, crawfish dynamite ""roll"", ahi tuna tower. Quite pricey BUT worth it."
164,The service and food was awesome. Everyone was extremely friendly! Our sushi chef Evan and waitstaff Thuy were awesome! Going back!!
165,"We went here on a Monday night, trying to grab a quick bite. Unfortunately, it was anything by quick. It took 20 minutes to just see a waiter, only after I got up and found the manager. The food was so so. Not the best choice."
166,It's my favorite place in town for the Japanese food. Must try their appetizers and deserts too. Great service too.
